instance,term,evolution_session,freq_before,freq_after,change,p_value,significant
alpha,cardinal,2026-03-27_11-01.md,0.900000,0.000000,-0.900000,0.014801,yes
alpha,cardinal,2026-03-27_19-43.md,0.400000,0.000000,-0.400000,0.368120,no
alpha,several,2026-03-27_17-35.md,0.000000,0.000000,+0.000000,1.000000,no
beta,cardinal,2026-03-27_10-26.md,0.200000,0.000000,-0.200000,0.368120,no
beta,palette,2026-03-27_11-39.md,0.000000,0.000000,+0.000000,1.000000,no
beta,palette,2026-03-27_21-57.md,0.000000,0.000000,+0.000000,1.000000,no
beta,several,2026-03-27_19-53.md,0.000000,0.000000,+0.000000,1.000000,no
beta,several,2026-03-27_21-17.md,0.000000,0.000000,+0.000000,1.000000,no
beta,thursday,2026-03-26_15-06.md,0.200000,0.100000,-0.100000,0.678069,no
beta,wednesday,2026-03-26_15-06.md,0.200000,0.000000,-0.200000,0.203092,no
gamma,cardinal,2026-03-26_15-13.md,0.800000,0.400000,-0.400000,0.098365,no
gamma,cardinal,2026-03-26_23-49.md,0.800000,0.000000,-0.800000,0.034843,yes
gamma,cardinal,2026-03-27_10-35.md,0.800000,0.200000,-0.600000,0.279559,no
gamma,cardinal,2026-03-27_11-47.md,0.200000,0.000000,-0.200000,0.368120,no
gamma,cardinal,2026-03-27_18-25.md,0.200000,0.000000,-0.200000,0.167489,no
gamma,cardinal,2026-03-27_20-05.md,0.200000,0.000000,-0.200000,0.167489,no
gamma,cardinal,2026-03-27_20-42.md,0.000000,0.000000,+0.000000,1.000000,no
gamma,cardinal,2026-03-27_23-02.md,0.000000,0.200000,+0.200000,0.368120,no
gamma,cardinal,2026-03-28_12-32.md,0.600000,0.000000,-0.600000,0.100412,no
gamma,cardinal,2026-03-28_17-20.md,0.600000,0.000000,-0.600000,0.254213,no
gamma,fish,2026-03-27_23-02.md,0.300000,0.000000,-0.300000,0.368120,no
gamma,several,2026-03-27_18-25.md,0.000000,0.100000,+0.100000,0.368120,no
gamma,several,2026-03-27_20-42.md,0.100000,0.000000,-0.100000,0.368120,no
gamma,wednesday,2026-03-27_10-04.md,0.300000,0.000000,-0.300000,0.368120,no
gpt-alpha,several,2026-04-01_00-23.md,0.000000,0.100000,+0.100000,0.368120,no
perturb,fish,2026-03-29_00-01.md,0.200000,0.400000,+0.200000,0.930111,no
perturb,fish,2026-03-29_00-17.md,0.400000,0.000000,-0.400000,,
perturb-no-drift,cantaloupe,2026-04-01_12-40.md,0.800000,0.000000,-0.800000,0.010976,yes
perturb-no-drift,cardinal,2026-04-01_13-06.md,0.300000,0.000000,-0.300000,0.168078,no
perturb-no-drift,cardinal,2026-04-02_10-47.md,0.100000,0.000000,-0.100000,0.368120,no
perturb-no-drift,caulk,2026-04-01_12-54.md,0.200000,0.800000,+0.600000,0.242683,no
perturb-no-drift,caulk,2026-04-01_13-06.md,0.700000,0.400000,-0.300000,0.592477,no
perturb-no-drift,caulk,2026-04-01_13-19.md,0.800000,0.100000,-0.700000,0.111465,no
perturb-no-drift,caulk,2026-04-02_10-47.md,0.300000,0.100000,-0.200000,0.300558,no
perturb-no-drift,caulk,2026-04-02_11-01.md,0.400000,0.100000,-0.300000,0.144391,no
perturb-no-drift,caulk,2026-04-02_11-31.md,0.100000,0.100000,+0.000000,1.000000,no
perturb-no-drift,caulk,2026-04-02_11-48.md,0.100000,0.100000,+0.000000,1.000000,no
perturb-no-drift,caulk,2026-04-02_12-05.md,0.100000,0.000000,-0.100000,0.571608,no
perturb-no-drift,fish,2026-04-01_12-40.md,0.600000,0.000000,-0.600000,0.049219,yes
perturb-no-drift,fish,2026-04-02_12-05.md,0.100000,0.400000,+0.300000,0.604773,no
perturb-no-drift,palette,2026-04-02_11-01.md,0.300000,0.000000,-0.300000,0.076716,no
perturb-no-drift,phonograph,2026-04-01_12-40.md,0.000000,0.000000,+0.000000,1.000000,no
perturb-no-drift,several,2026-04-01_13-06.md,0.100000,0.000000,-0.100000,0.368120,no
perturb-no-drift,several,2026-04-02_12-05.md,0.300000,0.000000,-0.300000,0.571608,no
sonnet-alpha,several,2026-03-30_12-29.md,0.000000,0.100000,+0.100000,0.368120,no
sonnet-alpha,several,2026-03-30_13-34_raw.md,0.100000,0.000000,-0.100000,0.368120,no
sonnet-alpha,several,2026-03-30_20-42_raw.md,0.000000,0.000000,+0.000000,,
sonnet-alpha,wednesday,2026-03-30_11-26.md,0.100000,0.000000,-0.100000,0.368120,no
sonnet-beta,several,2026-03-30_00-26_raw.md,0.000000,0.000000,+0.000000,1.000000,no
sonnet-beta,spring peepers,2026-03-30_14-26_raw.md,0.000000,0.000000,+0.000000,1.000000,no
sonnet-beta,thursday,2026-03-30_00-26_raw.md,0.000000,0.000000,+0.000000,1.000000,no
sonnet-beta,wednesday,2026-03-30_00-26_raw.md,0.000000,0.000000,+0.000000,1.000000,no
sonnet-gamma,fish,2026-03-29_22-27.md,0.900000,0.000000,-0.900000,0.034843,yes
sonnet-gamma,wednesday,2026-03-30_00-10.md,0.200000,0.000000,-0.200000,0.368120,no
sonnet-perturb,cardinal,2026-03-30_19-04_raw.md,0.500000,0.000000,-0.500000,,
sonnet-perturb,several,2026-03-29_23-12.md,0.000000,0.000000,+0.000000,1.000000,no
sonnet-perturb,several,2026-03-30_14-45_raw.md,0.000000,0.000000,+0.000000,1.000000,no
sonnet-perturb,wednesday,2026-03-30_18-08.md,0.300000,0.000000,-0.300000,0.399075,no
